C+ID,CONJUNTO,STATUS,ASESOR,FECHA,GÉNERO,EDAD,PAÍS,CIUDAD,PROFESIÓN,OCUPACIÓN,ESTADO CIVIL,INGRESOS MENSUALES,CANALES
XI6,X,VENDIDO,GABRIELA RODRIGUEZ,19/2/2025,MUJER,45,COLOMBIA,CALI,ADMINISTRADORA,EMPLEAD@,SOLTER@,$3.000.000,SOY REFERIDO
XI7,X,VENDIDO,GABRIELA RODRIGUEZ,15/2/2025,MUJER,42,COLOMBIA,JAMUNDÍ,GERENTE GENERAL,INDEPENDIENTE,CASAD@,$7.000.000,PASÉ Y ENTRÉ
XI8,X,DISPONIBLE,, ,,,,,,,,,
XI9,X,DISPONIBLE,, ,,,,,,,,,
XI10,X,VENDIDO,BM (CARLOS),1/4/2024,,,,,,,,,
XI11,X,DISPONIBLE,, ,,,,,,,,,
XB2,X,VENDIDO,LAURA DANIELA GALLO,15/7/2025,MUJER,37,COLOMBIA,CALI,CONTADORA,EMPLEAD@,UNIÓN LIBRE,"$3,650,000",LOS VI EN REDES
XE22,X,VENDIDO,LAURA DANIELA GALLO,25/07/2025,MUJER,29,COLOMBIA,SUAREZ,INDEPENDIENTE,INDEPENDIENTE,UNIÓN LIBRE,"$3,600,000",REFERIDO
XI14,X,DISPONIBLE,, ,,,,,,,,,
XI15,X,DISPONIBLE,, ,,,,,,,,,
XI16,X,DISPONIBLE,, ,,,,,,,,,
XI17,X,DISPONIBLE,, ,,,,,,,,,
XI18,X,VENDIDO,VALERIA YEPES,29/6/2024,MUJER,50,COLOMBIA,JAMUNDÍ,,INDEPENDIENTE,UNIÓN LIBRE,$3.000.000,LOS VI EN REDES
XI19,X,VENDIDO,INNVERTO,8/11/2024,MUJER,40,COLOMBIA,PASTO,DOCENTE,EMPLEAD@,SOLTER@,$3.000.000,LOS VI EN REDES
XI20,X,VENDIDO,LAURA DANIELA GALLO,31/5/2025,HOMBRE,40,INGLATELLA,LONDRES,INDEPENDIENTE,INDEPENDIENTE,CASAD@,"$4,000,000",LOS VI EN REDES
XI21,X,VENDIDO,GABRIELA RODRIGUEZ,20/11/2024,HOMBRE,36,COLOMBIA,CALI,COMERCIANTE,INDEPENDIENTE,CASAD@,$5.000.000,LOS VI EN REDES
XD9,X,VENDIDO,LAURA DANIELA GALLO,14/8/2025,MUJER,35,COLOMBIA,JAMUNDÍ,INDEPENDIENTE,INDEPENDIENTE,UNIÓN LIBRE,"$4,000,000",LOS VI EN REDES
XI23,X,VENDIDO,GABRIELA RODRIGUEZ,21/2/2025,MUJER,42,COLOMBIA,JAMUNDÍ,GERENTE GENERAL,INDEPENDIENTE,CASAD@,$7.000.000,PASÉ Y ENTRÉ
XI24,X,VENDIDO,ISABEL ARBOLEDA,30/12/2024,HOMBRE,35,COLOMBIA,JAMUNDÍ,GUARDA DE SEGURIDAD,EMPLEAD@,UNIÓN LIBRE,$3.000.000,PASÉ Y ENTRÉ
XI25,X,DISPONIBLE,, ,,,,,,,,,
XI26,X,VENDIDO,BM (CARLOS),1/4/2024,,,,,,,,,
XI27,X,VENDIDO,JANIER VERA,26/9/2024,HOMBRE,27,COLOMBIA,JAMUNDÍ,TECNICO ELECTRICISTA,EMPLEAD@,SOLTER@,$3.000.000,LOS VI EN REDES
XI28,X,VENDIDO,LAURA DANIELA GALLO,29/4/2025,HOMBRE,30,COLOMBIA,JAMUNDÍ,CONSTRUCTOR,EMPLEAD@,UNIÓN LIBRE,"$3,000,000",LOS VI EN REDES
XI29,X,DISPONIBLE,, ,,,,,,,,,
XI30,X,VENDIDO,LAURA DANIELA GALLO,5/6/2025,MUJER,40,COLOMBIA,CALI,ENFERMERA,EMPLEAD@,DIVORCIAD@,"$3,800,000",LOS VI EN REDES
XI31,X,DISPONIBLE,, ,,,,,,,,,
XJ1,X,DISPONIBLE,, ,,,,,,,,,
XJ2,X,VENDIDO,GABRIELA RODRIGUEZ,23/2/2025,MUJER,55,COLOMBIA,CALI,JEFE DE VENTAS,EMPLEAD@,UNIÓN LIBRE,$3.000.000,SOY REFERIDO
XJ3,X,VENDIDO,DACION,1/4/2024,,,,,,,,,
XJ4,X,VENDIDO,GABRIELA RODRIGUEZ,12/3/2025,HOMBRE,55,COLOMBIA,CALI,COMERCIANTE,INDEPENDIENTE,UNIÓN LIBRE,$4.000.000,PASÉ Y ENTRÉ
XJ5,X,DISPONIBLE,, ,,,,,,,,,
XJ6,X,DISPONIBLE,, ,,,,,,,,,
XJ7,X,VENDIDO,ISABEL ARBOLEDA,5/9/2024,HOMBRE,34,COLOMBIA,CALI,,INDEPENDIENTE,UNIÓN LIBRE,$3.500.000,LOS VI EN REDES
XJ8,X,VENDIDO,BM (CARLOS),1/4/2024,,,,,,,,,
XJ9,X,VENDIDO,BM (CARLOS),1/4/2024,,,,,,,,,
XJ10,X,VENDIDO,GABRIELA RODRIGUEZ,7/4/2025,HOMBRE,40,COLOMBIA,JAMUNDÍ,COMERCIANTE,INDEPENDIENTE,UNIÓN LIBRE,$3.000.000,LOS VI EN REDES
XJ11,X,VENDIDO,GABRIELA RODRIGUEZ,2/5/2025,MUJER,43,COLOMBIA,JAMUNDÍ,FUNCIONARIA PÚBLICA,EMPLEAD@,UNIÓN LIBRE,$5.000.000,LOS VI EN REDES
XF13,X,VENDIDO,LAURA DANIELA GALLO,5/8/2025,HOMBRE,29,COLOMBIA,CALI,ADMINISTRADOR DE EMPRESAS,EMPLEAD@,CASAD@,"$4,000,000",LOS VI EN REDES
XJ13,X,DISPONIBLE,, ,,,,,,,,,
XJ14,X,DISPONIBLE,, ,,,,,,,,,
